t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,qddot0,qddot1,qddot2,qddot3,qddot4,qddot5,jerk0,jerk1,jerk2,jerk3,jerk4,jerk5
0.09025,0.00386854,-0.00497343,0.00791393,0.00548537,0.00449679,-0.00863805,0.123399,-0.154576,0.244748,0.168694,0.139984,-0.266805,2.50806,-2.96096,4.63332,3.15015,2.69188,-5.0352,20.4648,-18.0171,26.2504,16.2689,16.7705,-27.9434
0.095,0.00448334,-0.00574138,0.00912922,0.00632249,0.00519238,-0.00996266,0.135541,-0.168838,0.267044,0.183834,0.152955,-0.291028,2.60355,-3.04319,4.75236,3.22325,2.76858,-5.16166,19.7403,-16.6079,23.8793,14.5155,15.5282,-25.311
0.09975,0.00515688,-0.00657799,0.0104517,0.00723232,0.00595042,-0.0114037,0.148127,-0.183475,0.289878,0.199302,0.166277,-0.315821,2.69561,-3.11877,4.86023,3.2881,2.83943,-5.27573,19.0227,-15.2203,21.5477,12.7927,14.3053,-22.7224
0.1045,0.00589123,-0.00748495,0.0118838,0.00821631,0.00677252,-0.0129638,0.161143,-0.198456,0.313199,0.215058,0.179921,-0.341128,2.78427,-3.18781,4.95713,3.34483,2.90451,-5.3776,18.3118,-13.8543,19.2556,11.1003,13.1016,-20.1776
0.10925,0.0066884,-0.00846382,0.0134278,0.00927577,0.00766014,-0.0146451,0.174573,-0.21375,0.336954,0.231065,0.193861,-0.36689,2.86958,-3.25042,5.04322,3.3936,2.96392,-5.46748,17.6078,-12.5099,17.0029,9.43848,11.9173,-17.6765
0.114,0.0075503,-0.00951601,0.0150855,0.0104118,0.00861462,-0.0164499,0.188399,-0.229325,0.361092,0.247285,0.208069,-0.39305,2.95156,-3.30669,5.11872,3.43454,3.01776,-5.54559,16.9106,-11.1871,14.7898,7.8071,10.7524,-15.2192
0.11875,0.00847879,-0.0106428,0.0168587,0.0116253,0.00963718,-0.0183797,0.202607,-0.245153,0.385565,0.263681,0.22252,-0.419554,3.03024,-3.35673,5.18379,3.46781,3.0661,-5.61214,16.2202,-9.88601,12.6161,6.20622,9.6067,-12.8057
0.1235,0.00947565,-0.0118453,0.0187488,0.012917,0.0107289,-0.0204361,0.217181,-0.261204,0.410322,0.280217,0.237189,-0.446348,3.10566,-3.40064,5.23863,3.49355,3.10905,-5.66732,15.5367,-8.60649,10.4819,4.63583,8.48037,-10.4359
0.12825,0.0105426,-0.0131246,0.0207571,0.0142875,0.0118908,-0.0226203,0.232106,-0.27745,0.435316,0.296858,0.252048,-0.473376,3.17785,-3.43853,5.28343,3.5119,3.14669,-5.71135,14.8599,-7.34861,8.38716,3.09592,7.37337,-8.10994
0.133,0.0116812,-0.0144814,0.0228846,0.0157372,0.0131236,-0.0249334,0.247366,-0.293861,0.460499,0.313569,0.267074,-0.500588,3.24684,-3.47049,5.31837,3.52301,3.17913,-5.74443,14.19,-6.11234,6.33191,1.58651,6.2857,-5.8277
0.13775,0.0128931,-0.0159165,0.0251321,0.0172664,0.0144282,-0.0273761,0.262946,-0.31041,0.485825,0.330315,0.282242,-0.527931,3.31267,-3.49663,5.34365,3.52702,3.20644,-5.76678,13.5269,-4.89769,4.31614,0.107579,5.21736,-3.58923
0.1425,0.0141797,-0.0174304,0.0275001,0.0188752,0.0158051,-0.0299489,0.278831,-0.32707,0.511249,0.347065,0.297527,-0.555356,3.37536,-3.51705,5.35944,3.52408,3.22872,-5.7786,12.8706,-3.70466,2.33986,-1.34086,4.16834,-1.39451
0.14725,0.0155424,-0.0190238,0.029989,0.0205635,0.0172549,-0.0326521,0.295007,-0.343813,0.536725,0.363783,0.312907,-0.582812,3.43495,-3.53186,5.36594,3.51433,3.24607,-5.7801,12.2212,-2.53326,0.403056,-2.75881,3.13864,0.756434
0.152,0.0169827,-0.0206967,0.032599,0.0223311,0.0187778,-0.0354856,0.311458,-0.360614,0.562211,0.38044,0.328357,-0.610251,3.49147,-3.54115,5.36333,3.49792,3.25857,-5.77148,11.5785,-1.38348,-1.49427,-4.14627,2.12828,2.86362
0.15675,0.0185017,-0.0224496,0.03533,0.0241775,0.0203743,-0.0384493,0.328171,-0.377446,0.587663,0.397003,0.343856,-0.637625,3.54495,-3.54504,5.3518,3.47499,3.26632,-5.75296,10.9427,-0.255314,-3.35211,-5.50324,1.13724,4.92704
